Team And Year,MOV (PPG),SRS,ORtg,DRtg,NRtg,Win%,Pythagorean Win%,MOV Percentile,SRS Percentile,ORTG Percentile,DRTG Percentile,Net Rating Percentile,Win% Percentile,Pythagorean Win% Percentile
Milwaukee Bucks: 1987,3.91,4.04,109.5,105.6,3.9,60.97560976,62.19512195,78.5,80.4,72.7,86.4,76.8,71.3,75.5
Detroit Pistons: 1987,3.44,3.51,109.2,105.8,3.4,63.41463415,60.97560976,75,76.3,63.6,81.9,72.8,77.4,72.2
Portland Trail Blazers: 1987,3.13,2.57,111.5,108.6,2.9,59.75609756,59.75609756,72.8,69.3,81.8,45.5,70.1,68.8,70.1
Houston Rockets: 1987,1,0.6,106.5,105.5,1,51.2195122,53.65853659,55.6,53.3,36.3,91,54.6,48.5,54.7
Chicago Bulls: 1987,0.89,1.26,108.6,107.6,1,48.7804878,52.43902439,54.2,57.6,50,54.6,54.6,41.8,51.9
Utah Jazz: 1987,0.4,0.04,104.1,103.7,0.4,53.65853659,51.2195122,50.8,49,9,100,50.7,55,49.1
Seattle SuperSonics: 1987,0.46,0.08,110.7,110.3,0.4,47.56097561,51.2195122,51.3,49.2,77.2,31.9,50.7,39.7,49.1
Philadelphia 76ers: 1987,-0.2,0.11,108.3,108.5,-0.2,54.87804878,48.7804878,47,49.3,45.4,50,46.2,58.8,43.6
Indiana Pacers: 1987,-0.65,-0.17,106,106.6,-0.6,50,47.56097561,42.7,46.9,31.8,68.2,42.9,44,41
Denver Nuggets: 1987,-0.87,-1.14,109.3,110.2,-0.9,45.12195122,47.56097561,41,38.3,68.1,36.4,40.8,35.9,41
Washington Bullets: 1987,-1.37,-1.02,105.7,107,-1.3,51.2195122,45.12195122,37,39.2,22.7,59.1,37.6,48.5,35.4
Phoenix Suns: 1987,-2.44,-2.63,108,110.3,-2.3,43.90243902,42.68292683,30.2,27.8,40.9,31.9,31.4,33.3,31.1
Golden State Warriors: 1987,-2.34,-2.54,108.9,111.2,-2.3,51.2195122,42.68292683,31,28.6,54.5,9.1,31.4,48.5,31.1
Sacramento Kings: 1987,-3.22,-3.34,108.9,112.1,-3.2,35.36585366,40.24390244,25.2,23.7,54.5,4.6,26.3,19.9,26.3
Cleveland Cavaliers: 1987,-3.82,-3.19,102.6,106.4,-3.8,37.80487805,37.80487805,21.4,24.5,4.5,77.3,22.3,23.5,21.6
New Jersey Nets: 1987,-5.05,-4.42,105.6,110.5,-4.9,29.26829268,34.14634146,15.9,18.1,18.1,22.8,17.5,10.6,16.4
San Antonio Spurs: 1987,-5.1,-5.09,105.9,110.8,-4.9,34.14634146,34.14634146,15.6,15.2,27.2,18.2,17.5,17.9,16.4
New York Knicks: 1987,-6.27,-5.42,104.8,111.1,-6.3,29.26829268,30.48780488,11.2,13.2,13.6,13.7,12,10.6,11.7
Los Angeles Clippers: 1987,-11.43,-11,101.2,112.3,-11.1,14.63414634,19.51219512,0.3,0.3,0,0,0.5,0.3,0.8
Boston Celtics: 1988,5.94,6.15,115.4,109.4,6,69.51219512,68.29268293,88.9,90.6,100,27.3,87.9,88.4,86.2
Los Angeles Lakers: 1988,5.84,4.81,113.1,107.3,5.8,75.6097561,68.29268293,88.7,84.3,95.4,63.7,86.7,96.2,86.2
Detroit Pistons: 1988,5.17,5.46,110.5,105.3,5.2,65.85365854,65.85365854,85.7,87.8,77.2,95.5,84.4,81.2,82.8
Dallas Mavericks: 1988,4.37,3.59,112.2,107.7,4.5,64.63414634,63.41463415,81.8,77,90.9,36.4,79.9,79.2,77.6
Portland Trail Blazers: 1988,4.52,3.59,111.8,107.4,4.4,64.63414634,63.41463415,82.9,77,86.3,59.1,79.3,79.2,77.6
Denver Nuggets: 1988,4.07,3.32,110.1,106.3,3.8,65.85365854,62.19512195,79.4,75.3,68.1,77.3,76.5,81.2,75.5
Utah Jazz: 1988,3.68,2.96,106.8,103.1,3.7,57.31707317,62.19512195,76.6,72.8,31.8,100,75.4,62.9,75.5
Atlanta Hawks: 1988,3.6,4.02,111.3,107.6,3.7,60.97560976,62.19512195,76.1,80.3,81.8,50,75.4,71.3,75.5
Chicago Bulls: 1988,3.4,3.76,109,105.5,3.5,60.97560976,60.97560976,74.4,79,63.6,91,73.6,71.3,72.2
Seattle SuperSonics: 1988,2.06,1.29,110.2,108.1,2.1,53.65853659,56.09756098,64.2,58,72.7,31.9,63.5,55,60.6
Houston Rockets: 1988,1.39,0.82,107.1,105.7,1.4,56.09756098,54.87804878,58.3,54.7,45.4,86.4,57.7,61.5,57.6
Cleveland Cavaliers: 1988,0.76,1.28,106.8,106,0.8,51.2195122,52.43902439,52.9,57.8,31.8,81.9,52.8,48.5,51.9
Milwaukee Bucks: 1988,0.54,1.21,108.2,107.6,0.6,51.2195122,51.2195122,51.8,57.2,50,50,51.7,48.5,49.1
New York Knicks: 1988,-0.49,0.14,105.9,106.4,-0.5,46.34146341,48.7804878,43.7,49.4,13.6,72.8,43.5,37.7,43.6
Washington Bullets: 1988,-0.77,-0.16,106.5,107.2,-0.7,46.34146341,47.56097561,42,47.1,18.1,68.2,42.5,37.7,41
