Pick,Draft Year,Team (Full Name),Team And Draft Year,Team Abbr.,Player,College,Years Played,Games Played,Minutes Played,WS,WS/48,BPM,VORP,College?,WS Percentile,VORP Percentile,WS/48 Percentile,BPM Percentile,Counting Stat Total,Rate Stat Total,Overall Total,Counting Stat Percentile,Rate Stat Percentile,Overall Value Percentile,,,,,,,,,,,,,
35,1986,Dallas Mavericks,Dallas Mavericks: 1986,DAL,Milt Wagner,Louisville,2,53,496,0.4,0.039,-4,-0.2,Yes,23.7,31.8,28.9,23.2,55.5,52.1,107.6,25.4,21.7,23.6,,,,,,,,,,,,,
36,1986,Washington Bullets,Washington Bullets: 1986,WSB,Steve Mitchell,UAB,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
37,1986,Portland Trail Blazers,Portland Trail Blazers: 1986,POR,Panagiotis Fasoulas,NC State,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
38,1986,Seattle SuperSonics,Seattle SuperSonics: 1986,SEA,Lemone Lampley,DePaul,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
39,1986,Phoenix Suns,Phoenix Suns: 1986,PHO,Rafael Addison,Syracuse,6,379,5697,4.9,0.041,-3.8,-2.5,Yes,44.7,3.9,29.8,25.5,48.6,55.3,103.9,18.5,23.2,22.2,,,,,,,,,,,,,
40,1986,Atlanta Hawks,Atlanta Hawks: 1986,ATL,Augusto Binelli,,,,,,,,,No,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
41,1986,Denver Nuggets,Denver Nuggets: 1986,DEN,Otis Smith,Jacksonville University,6,375,7720,12.3,0.076,0.2,4.2,Yes,56.2,70.7,54,78.8,126.9,132.8,259.7,69.6,72.9,71.4,,,,,,,,,,,,,
42,1986,Atlanta Hawks,Atlanta Hawks: 1986,ATL,Ron Kellogg,Kansas,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
43,1986,Houston Rockets,Houston Rockets: 1986,HOU,Dave Feitl,Texas-El Paso,5,275,3001,1.4,0.022,-5.8,-2.9,Yes,32.7,3.2,20.6,11.2,35.9,31.8,67.7,8,12.9,11.9,,,,,,,,,,,,,
44,1986,Philadelphia 76ers,Philadelphia 76ers: 1986,PHI,David Wingate,Georgetown,15,740,13243,11.7,0.042,-2.4,-1.2,Yes,55.2,10.6,30.6,42.8,65.8,73.4,139.2,49.9,31.4,32.6,,,,,,,,,,,,,
45,1986,Milwaukee Bucks,Milwaukee Bucks: 1986,MIL,Keith Smith,Loyola Marymount,1,42,461,0,-0.003,-5.5,-0.4,Yes,11,24.4,13,12.9,35.4,25.9,61.3,7.7,10.3,10,,,,,,,,,,,,,
46,1986,Phoenix Suns,Phoenix Suns: 1986,PHO,Jeff Hornacek,Iowa State,14,1077,33964,108.9,0.154,2.9,42.1,Yes,97.6,97.6,94.5,95.9,195.2,190.4,385.6,98.1,97,98.1,,,,,,,,,,,,,
47,1986,New York Knicks,New York Knicks: 1986,NYK,Michael Jackson,Georgetown,3,89,888,-0.2,-0.011,-4.8,-0.6,Yes,4.5,18.9,11.5,17.6,23.4,29.1,52.5,3.6,11.5,7.3,,,,,,,,,,,,,
